Module,Metric,Target,1,N,N^2,log2(N),Nlog2(N),R^2
priorityencoder,delay,easy,0.0,,,6.815655848737334,,0.5471505976585844
priorityencoder,area,easy,,0.14996313076366272,,,,0.9751246139683207
priorityencoder,lpower,easy,,0.04628232776780845,,,,0.6646449382421588
priorityencoder,denergy,easy,,0.00046338953826781273,,,,0.8843605490100168
priorityencoder,delay,hard,0.0,,,0.9775747670327015,,0.987274834491306
priorityencoder,area,hard,,0.3296349181169891,,,,0.9718942704677337
priorityencoder,lpower,hard,,0.2508481588069769,,,,0.9418329012771585
priorityencoder,denergy,hard,,0.09327161156406552,,,,0.8065924672945542
add,delay,easy,0.0,,,27.820556626526365,,0.5330240516496716
add,area,easy,,0.33740563909904386,,,,0.9968636684818916
add,lpower,easy,,0.1559461482654009,,,,0.7403794995975848
add,denergy,easy,,0.025219887569037786,,,,0.6462978476180771
add,delay,hard,1.8060844241506506,,,1.4310340215065525,,0.9564367595740637
add,area,hard,,1.0710989265923485,,,,0.988580182173048
add,lpower,hard,,0.9470245397661955,,,,0.9951383820581323
add,denergy,hard,,0.9954952282287014,,,,0.9928308616130285
csa,delay,easy,5.827386725865409,,,,,0.0
csa,area,easy,,0.3404841239399024,,,,0.9966821820865757
csa,lpower,easy,,0.1555300133584381,,,,0.7410756093594764
csa,denergy,easy,,0.0005478126632729184,,,,0.5798854696439455
csa,delay,hard,3.590384717869601,,,,,0.0
csa,area,hard,,0.9312877569527923,,,,0.9993939428598292
csa,lpower,hard,,1.5320774877598933,,,,0.9400384192534433
csa,denergy,hard,,1.1454135769936609,,,,0.9735205275004183
shiftleft,delay,easy,0.0,,,5.744537363106859,,0.7778961884907117
shiftleft,area,easy,,0.8000093911038876,,,,0.9576897492378456
shiftleft,lpower,easy,,0.28913702096331206,,,,0.623995386847899
shiftleft,denergy,easy,,0.005924456057944899,,,,0.7200057939838627
shiftleft,delay,hard,0.48433873118517795,,,1.635171191349943,,0.9873681453602638
shiftleft,area,hard,,1.9102134686740575,,,,0.9466461680123697
shiftleft,lpower,hard,,2.277088275290811,,,,0.9624044038708768
shiftleft,denergy,hard,,1.4931073444617051,,,,0.9454881696599784
comparator,delay,easy,0.0,,,4.706704191403,,0.5450694752498024
comparator,area,easy,,0.3425601443761704,,,,0.978537426983507
comparator,lpower,easy,,0.15525826941742596,,,,0.8078417286943447
comparator,denergy,easy,,0.0008896717814426517,,,,0.9267090446396561
comparator,delay,hard,1.9818442635987938,,,0.9397668550976329,,0.9878932660337799
comparator,area,hard,,0.6003877936704982,,,,0.9672416909621802
comparator,lpower,hard,,0.46756802348373877,,,,0.8609362596824635
comparator,denergy,hard,,0.3089180049610159,,,,0.8267293340232036
flop,delay,easy,3.3270503187614153,,,,,0.0
flop,area,easy,,0.34478305655859876,,,,0.9433629202566682
flop,lpower,easy,,0.3707856336608904,,,,0.9170347531086821
flop,denergy,easy,,0.0011765517257429892,,,,0.688648230209356
flop,delay,hard,3.3270503187614153,,,,,0.0
flop,area,hard,,0.34478305655859876,,,,0.9433629202566682
flop,lpower,hard,,0.3707856336608904,,,,0.9170347531086821
flop,denergy,hard,,0.0011765517257429892,,,,0.688648230209356
mux2,delay,easy,0.0,,,3.276654474184255,,0.7130397298335213
mux2,area,easy,,0.15083561354737726,,,,0.976644158286422
mux2,lpower,easy,,0.12067626255418841,,,,0.9344813545348312
mux2,denergy,easy,,0.0011206170933885473,,,,0.5565267433319017
mux2,delay,hard,2.539326242287272,,,0.4143154417811283,,0.550540330173853
mux2,area,hard,,0.2261714754439734,,,,0.9792793539936671
mux2,lpower,hard,,0.27830936017352714,,,,0.9042661125086188
mux2,denergy,hard,,0.19333666277894856,,,,0.9525189311701613
mux4,delay,easy,0.0,,,3.934462222278399,,0.5700865267151127
mux4,area,easy,,0.2839183647889992,,,,0.9755791039549218
mux4,lpower,easy,,0.11187597259171647,,,,0.5559362399863286
mux4,denergy,easy,,0.0021483489610266407,,,,0.5348528431713737
mux4,delay,hard,3.1369448764435073,,,0.5081925137582488,,0.8316415055210026
mux4,area,hard,,0.35778033738856435,,,,0.9880049722019894
mux4,lpower,hard,,0.32236674794207065,,,,0.8279138454959137
mux4,denergy,hard,,0.28073375091037084,,,,0.9943662618662574
mux8,delay,easy,0.0,,,4.439779694843578,,0.6601108415004824
mux8,area,easy,,0.5486426664163658,,,,0.9756934275959698
mux8,lpower,easy,,0.2380559585648822,,,,0.5468728724048277
mux8,denergy,easy,,0.0029053391137917966,,,,0.5231276299250225
mux8,delay,hard,4.9490961359025585,,,0.45254210999717775,,0.8846872287553096
mux8,area,hard,,0.7645051946159651,,,,0.9834986761377894
mux8,lpower,hard,,0.6697504633436362,,,,0.9599639296705227
mux8,denergy,hard,,0.4542825975429124,,,,0.9698068520398291
mult,delay,easy,0.0,,,61.777235436483835,,0.539191885251039
mult,area,easy,,1.1322969325198273,7.852086512913157,,,0.997120506119588
mult,lpower,easy,,1.0320514230056876,3.411671281132248,,,0.7465081509218953
mult,denergy,easy,,0.0,2.146924193738219,,,0.8988257654810033
mult,delay,hard,0.0,,,5.971649009143529,,0.9704083045351518
mult,area,hard,,13.296909763669026,10.2773763878058,,,0.9969630019304513
mult,lpower,hard,,26.397088944265164,7.310137358727654,,,0.9703772416232848
mult,denergy,hard,,41.5120348723692,25.39500777044283,,,0.9849195751440497
